[[X: 0.183657, Y: 2.568531, Z: -0.467717],[U: 0.5, V: 0.5],[X: 1.0, Y: 0.0, Z: 0.0]]
[[X: 0.367313, Y: 2.568531, Z: -0.445621],[U: 0.5, V: 0.5],[X: 1.0, Y: 0.0, Z: 0.0]]
[[X: 0.368951, Y: 2.259398, Z: -0.53215],[U: 0.5, V: 0.5],[X: 1.0, Y: 0.0, Z: 0.0]]
[[X: 0.568982, Y: 2.368052, Z: -0.421262],[U: 0.5, V: 0.5],[X: 0.5356, Y: 0.2491, Z: -0.8069]]
[[X: 0.636205, Y: 2.368052, Z: -0.376636],[U: 0.5, V: 0.5],[X: 0.5356, Y: 0.2491, Z: -0.8069]]
[[X: 0.639041, Y: 2.259398, Z: -0.408299],[U: 0.5, V: 0.5],[X: 0.5356, Y: 0.2491, Z: -0.8069]]
[[X: 0.75182, Y: 1.864898, Z: -0.322448],[U: 0.5, V: 0.5],[X: 0.1647, Y: -0.2221, Z: -0.961]]
[[X: 0.641877, Y: 2.150744, Z: -0.407337],[U: 0.5, V: 0.5],[X: 0.1647, Y: -0.2221, Z: -0.961]]
[[X: 0.831991, Y: 2.150744, Z: -0.37476],[U: 0.5, V: 0.5],[X: 0.1647, Y: -0.2221, Z: -0.961]]
[[X: 0.680573, Y: 1.85384, Z: 0.087343],[U: 0.5, V: 0.5],[X: 0.0917, Y: -0.0155, Z: 0.9957]]
[[X: 0.966234, Y: 1.885028, Z: 0.061509],[U: 0.5, V: 0.5],[X: 0.0917, Y: -0.0155, Z: 0.9957]]
[[X: 0.831991, Y: 2.150744, Z: 0.078013],[U: 0.5, V: 0.5],[X: 0.0917, Y: -0.0155, Z: 0.9957]]
[[X: 0.503996, Y: 2.259398, Z: 0.182613],[U: 0.5, V: 0.5],[X: 0.3573, Y: 0.6456, Z: 0.675]]
[[X: 0.501759, Y: 2.368052, Z: 0.079875],[U: 0.5, V: 0.5],[X: 0.3573, Y: 0.6456, Z: 0.675]]
[[X: 0.367313, Y: 2.368052, Z: 0.151045],[U: 0.5, V: 0.5],[X: 0.3573, Y: 0.6456, Z: 0.675]]
[[X: 0.123356, Y: 2.259398, Z: 0.274669],[U: 0.5, V: 0.5],[X: 0.092, Y: 0.638, Z: 0.7645]]
[[X: 0.122809, Y: 2.48543, Z: 0.086114],[U: 0.5, V: 0.5],[X: 0.092, Y: 0.638, Z: 0.7645]]
[[X: 0.0, Y: 2.48543, Z: 0.10089],[U: 0.5, V: 0.5],[X: 0.092, Y: 0.638, Z: 0.7645]]
[[X: 0.056551, Y: 0.730856, Z: 0.567031],[U: 0.5, V: 0.5],[X: 0.2522, Y: -0.0754, Z: 0.9647]]
[[X: 0.0, Y: 0.73212, Z: 0.581915],[U: 0.5, V: 0.5],[X: 0.2522, Y: -0.0754, Z: 0.9647]]
[[X: 0.0, Y: 0.572852, Z: 0.569467],[U: 0.5, V: 0.5],[X: 0.2522, Y: -0.0754, Z: 0.9647]]
[[X: 0.344555, Y: 0.771391, Z: 0.450818],[U: 0.5, V: 0.5],[X: 0.4493, Y: -0.0356, Z: 0.8927]]
[[X: 0.169139, Y: 0.728339, Z: 0.537398],[U: 0.5, V: 0.5],[X: 0.4493, Y: -0.0356, Z: 0.8927]]
[[X: 0.209761, Y: 0.569926, Z: 0.510642],[U: 0.5, V: 0.5],[X: 0.4493, Y: -0.0356, Z: 0.8927]]
[[X: 0.613848, Y: 0.814444, Z: 0.127697],[U: 0.5, V: 0.5],[X: 0.9288, Y: 0.038, Z: 0.3686]]
[[X: 0.51997, Y: 0.814444, Z: 0.364238],[U: 0.5, V: 0.5],[X: 0.9288, Y: 0.038, Z: 0.3686]]
[[X: 0.539011, Y: 0.636566, Z: 0.334584],[U: 0.5, V: 0.5],[X: 0.9288, Y: 0.038, Z: 0.3686]]
[[X: 0.51997, Y: 0.814444, Z: -0.108844],[U: 0.5, V: 0.5],[X: 0.914, Y: 0.1815, Z: -0.3628]]
[[X: 0.613848, Y: 0.814444, Z: 0.127697],[U: 0.5, V: 0.5],[X: 0.914, Y: 0.1815, Z: -0.3628]]
[[X: 0.635834, Y: 0.636566, Z: 0.094083],[U: 0.5, V: 0.5],[X: 0.914, Y: 0.1815, Z: -0.3628]]
[[X: 0.465029, Y: 0.814444, Z: -0.152134],[U: 0.5, V: 0.5],[X: 0.6029, Y: 0.2261, Z: -0.7651]]
[[X: 0.51997, Y: 0.814444, Z: -0.108844],[U: 0.5, V: 0.5],[X: 0.6029, Y: 0.2261, Z: -0.7651]]
[[X: 0.539011, Y: 0.636566, Z: -0.146418],[U: 0.5, V: 0.5],[X: 0.6029, Y: 0.2261, Z: -0.7651]]
[[X: 0.155599, Y: 0.636566, Z: -0.342864],[U: 0.5, V: 0.5],[X: 0.1771, Y: 0.1867, Z: -0.9663]]
[[X: 0.150102, Y: 0.814444, Z: -0.309511],[U: 0.5, V: 0.5],[X: 0.1771, Y: 0.1867, Z: -0.9663]]
[[X: 0.300205, Y: 0.814444, Z: -0.282004],[U: 0.5, V: 0.5],[X: 0.1771, Y: 0.1867, Z: -0.9663]]
[[X: 0.060777, Y: 1.041469, Z: 0.57093],[U: 0.5, V: 0.5],[X: -0.2754, Y: 0.0624, Z: 0.9593]]
[[X: 0.116016, Y: 1.597435, Z: 0.550636],[U: 0.5, V: 0.5],[X: -0.2754, Y: 0.0624, Z: 0.9593]]
[[X: 0.0, Y: 1.57107, Z: 0.519045],[U: 0.5, V: 0.5],[X: -0.2754, Y: 0.0624, Z: 0.9593]]
[[X: 0.370302, Y: 1.082004, Z: 0.451044],[U: 0.5, V: 0.5],[X: 0.5838, Y: -0.0485, Z: 0.8105]]
[[X: 0.484741, Y: 1.675548, Z: 0.404153],[U: 0.5, V: 0.5],[X: 0.5838, Y: -0.0485, Z: 0.8105]]
[[X: 0.346996, Y: 1.653864, Z: 0.50207],[U: 0.5, V: 0.5],[X: 0.5838, Y: -0.0485, Z: 0.8105]]
[[X: 0.645277, Y: 1.125057, Z: 0.118705],[U: 0.5, V: 0.5],[X: 0.9518, Y: 0.0177, Z: 0.3063]]
[[X: 0.692437, Y: 1.677046, Z: -0.059798],[U: 0.5, V: 0.5],[X: 0.9518, Y: 0.0177, Z: 0.3063]]
[[X: 0.578146, Y: 1.651067, Z: 0.296845],[U: 0.5, V: 0.5],[X: 0.9518, Y: 0.0177, Z: 0.3063]]
[[X: 0.601014, Y: 1.554436, Z: -0.248511],[U: 0.5, V: 0.5],[X: 0.9262, Y: -0.1853, Z: -0.3283]]
[[X: 0.692437, Y: 1.677046, Z: -0.059798],[U: 0.5, V: 0.5],[X: 0.9262, Y: -0.1853, Z: -0.3283]]
[[X: 0.645277, Y: 1.125057, Z: 0.118705],[U: 0.5, V: 0.5],[X: 0.9262, Y: -0.1853, Z: -0.3283]]
[[X: 0.53751, Y: 1.531404, Z: -0.298343],[U: 0.5, V: 0.5],[X: 0.6531, Y: -0.2685, Z: -0.7081]]
[[X: 0.601014, Y: 1.554436, Z: -0.248511],[U: 0.5, V: 0.5],[X: 0.6531, Y: -0.2685, Z: -0.7081]]
[[X: 0.558826, Y: 1.125057, Z: -0.124583],[U: 0.5, V: 0.5],[X: 0.6531, Y: -0.2685, Z: -0.7081]]
[[X: 0.161319, Y: 1.125057, Z: -0.335277],[U: 0.5, V: 0.5],[X: 0.1883, Y: -0.4027, Z: -0.8958]]
[[X: 0.173498, Y: 1.462306, Z: -0.484321],[U: 0.5, V: 0.5],[X: 0.1883, Y: -0.4027, Z: -0.8958]]
[[X: 0.346996, Y: 1.462306, Z: -0.447841],[U: 0.5, V: 0.5],[X: 0.1883, Y: -0.4027, Z: -0.8958]]
[[X: 0.120507, Y: 1.763452, Z: 0.584816],[U: 0.5, V: 0.5],[X: 0.1789, Y: 0.3552, Z: 0.9175]]
[[X: 0.124999, Y: 1.933436, Z: 0.51814],[U: 0.5, V: 0.5],[X: 0.1789, Y: 0.3552, Z: 0.9175]]
[[X: 0.0, Y: 1.933436, Z: 0.542518],[U: 0.5, V: 0.5],[X: 0.1789, Y: 0.3552, Z: 0.9175]]
[[X: 0.510225, Y: 1.795041, Z: 0.404989],[U: 0.5, V: 0.5],[X: 0.6398, Y: 0.3001, Z: 0.7075]]
[[X: 0.535709, Y: 1.882891, Z: 0.344684],[U: 0.5, V: 0.5],[X: 0.6398, Y: 0.3001, Z: 0.7075]]
[[X: 0.373863, Y: 1.933436, Z: 0.469605],[U: 0.5, V: 0.5],[X: 0.6398, Y: 0.3001, Z: 0.7075]]
[[X: 0.709948, Y: 1.704108, Z: -0.091571],[U: 0.5, V: 0.5],[X: 0.4249, Y: -0.6587, Z: 0.621]]
[[X: 0.771708, Y: 1.713992, Z: -0.123344],[U: 0.5, V: 0.5],[X: 0.4249, Y: -0.6587, Z: 0.621]]
[[X: 0.680573, Y: 1.85384, Z: 0.087343],[U: 0.5, V: 0.5],[X: 0.4249, Y: -0.6587, Z: 0.621]]
[[X: 0.676417, Y: 1.709667, Z: -0.285479],[U: 0.5, V: 0.5],[X: 0.7641, Y: -0.4751, Z: -0.4364]]
[[X: 0.75182, Y: 1.864898, Z: -0.322448],[U: 0.5, V: 0.5],[X: 0.7641, Y: -0.4751, Z: -0.4364]]
[[X: 0.771708, Y: 1.713992, Z: -0.123344],[U: 0.5, V: 0.5],[X: 0.7641, Y: -0.4751, Z: -0.4364]]
[[X: 0.657331, Y: 1.882032, Z: -0.378866],[U: 0.5, V: 0.5],[X: 0.4164, Y: -0.397, Z: -0.8179]]
[[X: 0.75182, Y: 1.864898, Z: -0.322448],[U: 0.5, V: 0.5],[X: 0.4164, Y: -0.397, Z: -0.8179]]
[[X: 0.676417, Y: 1.709667, Z: -0.285479],[U: 0.5, V: 0.5],[X: 0.4164, Y: -0.397, Z: -0.8179]]
[[X: 0.186931, Y: 1.933436, Z: -0.584579],[U: 0.5, V: 0.5],[X: 0.187, Y: -0.2147, Z: -0.9586]]
[[X: 0.373863, Y: 1.933436, Z: -0.548122],[U: 0.5, V: 0.5],[X: 0.187, Y: -0.2147, Z: -0.9586]]
[[X: 0.360429, Y: 1.697871, Z: -0.497982],[U: 0.5, V: 0.5],[X: 0.187, Y: -0.2147, Z: -0.9586]]
[[X: 0.124999, Y: 1.933436, Z: 0.51814],[U: 0.5, V: 0.5],[X: 0.1456, Y: 0.5071, Z: 0.8495]]
[[X: 0.123904, Y: 2.150744, Z: 0.388623],[U: 0.5, V: 0.5],[X: 0.1456, Y: 0.5071, Z: 0.8495]]
[[X: 0.0, Y: 2.150744, Z: 0.409856],[U: 0.5, V: 0.5],[X: 0.1456, Y: 0.5071, Z: 0.8495]]
[[X: 0.535709, Y: 1.882891, Z: 0.344684],[U: 0.5, V: 0.5],[X: 0.5616, Y: 0.3415, Z: 0.7537]]
[[X: 0.506233, Y: 2.150744, Z: 0.245282],[U: 0.5, V: 0.5],[X: 0.5616, Y: 0.3415, Z: 0.7537]]
[[X: 0.370588, Y: 2.150744, Z: 0.346349],[U: 0.5, V: 0.5],[X: 0.5616, Y: 0.3415, Z: 0.7537]]
[[X: 0.734626, Y: 2.444941, Z: -0.185734],[U: 0.5, V: 0.5],[X: 0.3683, Y: 0.7856, Z: 0.4971]]
[[X: 0.636205, Y: 2.368052, Z: 0.008705],[U: 0.5, V: 0.5],[X: 0.3683, Y: 0.7856, Z: 0.4971]]
[[X: 0.730059, Y: 2.317387, Z: 0.019241],[U: 0.5, V: 0.5],[X: 0.3683, Y: 0.7856, Z: 0.4971]]
[[X: 0.639041, Y: 2.259398, Z: -0.408299],[U: 0.5, V: 0.5],[X: 0.3513, Y: 0.2704, Z: -0.8964]]
[[X: 0.636205, Y: 2.368052, Z: -0.376636],[U: 0.5, V: 0.5],[X: 0.3513, Y: 0.2704, Z: -0.8964]]
[[X: 0.730059, Y: 2.324403, Z: -0.353018],[U: 0.5, V: 0.5],[X: 0.3513, Y: 0.2704, Z: -0.8964]]
[[X: 0.657331, Y: 1.882032, Z: -0.378866],[U: 0.5, V: 0.5],[X: 0.443, Y: -0.0692, Z: -0.8939]]
[[X: 0.574055, Y: 2.150744, Z: -0.440949],[U: 0.5, V: 0.5],[X: 0.443, Y: -0.0692, Z: -0.8939]]
[[X: 0.641877, Y: 2.150744, Z: -0.407337],[U: 0.5, V: 0.5],[X: 0.443, Y: -0.0692, Z: -0.8939]]
[[X: 0.186931, Y: 1.933436, Z: -0.584579],[U: 0.5, V: 0.5],[X: 0.1687, Y: 0.0513, Z: -0.9843]]
[[X: 0.185294, Y: 2.150744, Z: -0.57354],[U: 0.5, V: 0.5],[X: 0.1687, Y: 0.0513, Z: -0.9843]]
[[X: 0.370588, Y: 2.150744, Z: -0.541786],[U: 0.5, V: 0.5],[X: 0.1687, Y: 0.0513, Z: -0.9843]]
[[X: 0.161319, Y: 1.125057, Z: -0.335277],[U: 0.5, V: 0.5],[X: 0.1974, Y: -0.0793, Z: -0.9771]]
[[X: 0.322638, Y: 1.125057, Z: -0.302683],[U: 0.5, V: 0.5],[X: 0.1974, Y: -0.0793, Z: -0.9771]]
[[X: 0.300205, Y: 0.814444, Z: -0.282004],[U: 0.5, V: 0.5],[X: 0.1974, Y: -0.0793, Z: -0.9771]]
[[X: 0.499779, Y: 1.125057, Z: -0.169108],[U: 0.5, V: 0.5],[X: 0.5981, Y: -0.115, Z: -0.7931]]
[[X: 0.558826, Y: 1.125057, Z: -0.124583],[U: 0.5, V: 0.5],[X: 0.5981, Y: -0.115, Z: -0.7931]]
[[X: 0.51997, Y: 0.814444, Z: -0.108844],[U: 0.5, V: 0.5],[X: 0.5981, Y: -0.115, Z: -0.7931]]
[[X: 0.558826, Y: 1.125057, Z: -0.124583],[U: 0.5, V: 0.5],[X: 0.9371, Y: -0.1045, Z: -0.333]]
[[X: 0.645277, Y: 1.125057, Z: 0.118705],[U: 0.5, V: 0.5],[X: 0.9371, Y: -0.1045, Z: -0.333]]
[[X: 0.613848, Y: 0.814444, Z: 0.127697],[U: 0.5, V: 0.5],[X: 0.9371, Y: -0.1045, Z: -0.333]]
[[X: 0.613848, Y: 0.814444, Z: 0.127697],[U: 0.5, V: 0.5],[X: 0.9388, Y: -0.0853, Z: 0.3336]]
[[X: 0.645277, Y: 1.125057, Z: 0.118705],[U: 0.5, V: 0.5],[X: 0.9388, Y: -0.0853, Z: 0.3336]]
[[X: 0.558826, Y: 1.125057, Z: 0.361994],[U: 0.5, V: 0.5],[X: 0.9388, Y: -0.0853, Z: 0.3336]]
